size	var_k1	max_k1	var_k3	max_k3	var_k5	max_k5	path
82451	92	329	1204	990	120716	7804	./3d3dfda06923b78d3e6e3f61235ed9cb.JPG
99656	108	260	1447	848	146685	6168	./3e8f21f8aedf315fa76ce75ac37bff65.JPG
55757	56	260	774	848	81936	6280	./3f88c9558b8443bd3a6316dcf1410699.JPG
80112	91	286	1169	930	120117	7808	./420218cd3c376c6a1a09236b993dbfb5.JPG
81324	76	336	950	990	93036	7780	./420ad60620d77d8877cc405768ed03a1.JPG
65928	74	262	1014	856	103478	6344	./49809eb298df6432fc4daca554458a22.JPG
91671	82	315	1037	930	104308	7856	./4b5de589aa80b1596d448d952d707f13.JPG
66128	81	280	1038	930	103444	7796	./4d1612758957df5b657e70872f31250e.JPG
37088	71	286	926	930	90717	7816	./562905ad4014857782d8341c2ebdd8e7.JPG
25742	74	290	960	930	93566	7792	./562fbe52fc78c2254295016bd46b7acd.JPG
37790	45	262	612	856	64032	6344	./5834a03d9368e6a01ede9f96686cd2e3.JPG
27839	74	280	959	930	93110	7776	./58575624b48111a50b46f330c8f72d75.JPG
81845	78	319	984	930	96496	7856	./58f3be1725113cf811940f1ec2745b8e.JPG
